Trial,Method,Piece,Destination,Time,Distance,Size,IndexOfDifficulty
1,Pinch,White Pawn e2,e4,19.805,0.1078,0.0600,1.4836
2,Pinch,White Knight c1,b3,3.621,0.1290,0.0600,1.6554
3,Pinch,White Queen e1,e5,3.592,0.2317,0.0600,2.2812
4,Pinch,White Rook h1,h6,3.411,0.2760,0.0600,2.4856
5,Ray,White Pawn e2,e4,14.911,0.1043,0.0600,1.4535
6,Ray,White Knight c1,b3,4.887,0.1278,0.0600,1.6462
7,Ray,White Queen e1,e5,5.319,0.2238,0.0600,2.2416
8,Ray,White Rook h1,h6,3.996,0.2870,0.0600,2.5320
9,Voice,White Pawn e2,e4,19.909,0.2855,0.0600,2.5257
10,Voice,White Knight c1,b3,6.794,0.2897,0.0600,2.5433
11,Voice,White Queen e1,e5,5.708,0.3592,0.0600,2.8045
12,Voice,White Rook h1,h6,5.890,0.3980,0.0600,2.9322
